dataset_index,language,text,correction
71,english,"Two-thirds of major retailers warn they're raising prices because of Labour Budget, as pressure on Chancellor grows Prior to this we just paid the rest out in benefits. This is actually one of the things they are doing right. They just aren't going far enough - and they won't, so we will continue to stay here.The issue is wealth inequality. Until we recoup the wealth transfer from COVID, we had better get used to being poor, because the rich have gotten richer. Until that is balanced, we will be here, with stagnant growth and at the mercy of the financial wind changing. Every year we wait to do it, the situation will get worse.","Two-thirds of major retailers warn that they are raising prices due to the Labour Budget, as pressure on the Chancellor increases. Previously, we simply paid the remainder out in benefits. This is actually one of the things they are doing correctly. They just aren't going far enough—and they won't, so we will continue to remain here.The main issue is wealth inequality. Until we recover the wealth lost during COVID, we had better get used to being poor because the rich have become richer. Until that imbalance is addressed, we will remain here, facing stagnant growth and at the mercy of changing financial conditions.Every year we delay addressing this, the situation will worsen."
72,english,"Megathread: Job Offer Status IC is likely exempt, your timeline is also normal according to /r/SecurityClearance",Megathread: Job Offer Status IC is likely exempt; your timeline appears to be normal according to /r/SecurityClearance.
73,english,"Going to Iceland- Language learning resources while I'm there I'm a huge fan of comprehensible input; that's how I learned Icelandic. It takes a long time, but if you just start listening, eventually you will comprehend extremely well and it will even help you with speaking and grammar. The nice thing if you are busy (which it sounds like you are!) is that you can put a podcast on while you're doing dishes, or read a book on the strætó, etc.I'm probably not as busy as you (I remember my doctoral days), but I'm a professor with a family, and I still manage to consistently get in more than an hour of input per day. Often two or more hours per day.","Going to Iceland - Language Learning Resources While I'm There I am a huge fan of comprehensible input; that's how I learned Icelandic. It takes a long time, but if you start listening, you will eventually understand very well, and it will also help you with speaking and grammar. The nice thing, if you are busy (which it sounds like you are!), is that you can play a podcast while doing the dishes or read a book on the strætó, etc.I might not be as busy as you (I remember my doctoral days), but I am a professor with a family, and I still manage to consistently get in more than an hour of input per day, often two or more hours."
74,english,"UK’s millionaire exodus equal to losing 530,000 average taxpayers, study says Many leave because of the crumbling infrastructure in the U.K.","According to a study, the U.K.'s millionaire exodus is equivalent to losing 530,000 average taxpayers. Many are leaving due to the deteriorating infrastructure in the U.K."
75,english,UK accused of undermining democratic rights with climate protest crackdown You blocked the road though. And your protest put my mum’s life in danger.,"The UK has been accused of undermining democratic rights through its crackdown on climate protests. You blocked the road, and your protest endangered my mum's life."
76,english,"Dzīvokļu cenasBeen looking for something like this!!! Super cool, thanks for sharing!",Dzīvokļu cenas I have been on the lookout for something like this! It's super cool; I appreciate you sharing!
77,english,"Window to stop decline of England’s nature closing fast, watchdog says as a gardener i agree with lots of this - but would argue that trends are definitely changing for the better and as someone who studied conservation science at uni i would say that gardens are probably a net positive compared to farming as they are typically way more bio-diverse than the mono-cultures of farming..So i do find it sightly bizarre that you'd call out private gardens when someone's talking about farms. seems a little like, blame the plebs rather than the land owners. - Especially when talking about soil degregation, pesticides (allot of pesticides farmers use, private gardens can't get hold of, and the trends in the industry is that most garden centres provide more and more organic forms) and monocultures.","The window to stop the decline of England’s nature is closing fast, watchdog says. As a gardener, I agree with much of this, but I would argue that trends are definitely changing for the better. As someone who studied conservation science at university, I would say that gardens are probably a net positive compared to farming, as they are typically much more biodiverse than the monocultures of farming. Therefore, I find it slightly bizarre that you would call out private gardens when someone is talking about farms. It seems a little like blaming the plebs rather than the landowners—especially when discussing soil degradation, pesticides (many pesticides that farmers use are not available to private gardens), and monocultures. Moreover, the trend in the industry is that most garden centers are providing more and more organic options."
78,english,"Not having physical immigration documents when ICE officer approaches me >carrying I-94 is simple and easy, green card less soWhen I was a permanent resident, carrying my green card with me was simple and easy, I just kept it in my wallet, and took my wallet with me everywhere I went. Before I became a permanent resident, carrying my paper I-94 with me was not so simple and easy, since it was attached to my passport, which is much less convenient to carry around.","Not having physical immigration documents when approached by an ICE officer can be challenging. Carrying an I-94 is simple and easy, but carrying a green card is less so. When I was a permanent resident, it was easy to carry my green card; I kept it in my wallet and took my wallet with me everywhere. Before I became a permanent resident, carrying my paper I-94 was not as simple, since it was attached to my passport, which is less convenient to carry."
79,english,"Passport Photo Search ""photo"" in Google maps. And before taking a picture, search for the criterias for passport photo for your country. Background layer, size etc..","Passport Photo Search for ""photo"" in Google Maps. Before taking a picture, check the criteria for passport photos in your country, including background, size, etc."
80,english,"Sir Keir Starmer says governmentwill ‘look at every conceivable way'to stop Gerry Adams payout why don't we just pay the man and move on, Gerry Adams has been an elected MP with a seat in parliament before he's already been legitimised into British society","Sir Keir Starmer has stated that the government will ""look at every conceivable way"" to stop Gerry Adams' payout. Why don't we simply pay the man and move on? Gerry Adams has been an elected MP with a seat in Parliament before; he has already been legitimized in British society."
81,english,"Education Secretary outlines plans to modernise education sector Then with respect, your wife is not necessary at her job. She is proving she can be replaced with a much less educated, cheaper employee. If she's made her peace with using the plagiarism machine that confidently lies to do her job, then her job will be taken from her and fed to a machine that's only 75% as good, occasionally teaches kids that Greek is actually four different languages combined into a whole functioning patois, and costs only 85% of what she did.It'll be cheaper, and worse, and kids will learn fictions as fact.","The Education Secretary outlines plans to modernize the education sector. With all due respect, your wife is not indispensable in her job. She is demonstrating that she can be replaced by a much less educated and cheaper employee. If she has come to terms with using the plagiarism machine that confidently misrepresents information to perform her job, then her position will be taken over by a machine that is only 75% as effective, occasionally teaching kids that Greek is actually four different languages combined into a fully functioning patois, and costs only 85% of her salary. It will be cheaper, worse, and children will learn fictions as facts."
82,english,"Far-right groupexposed in undercover BBC investigationThere were no lies, considering there is still literally no evidence that he was a 'terrorist' whatsoever.","The far-right group was exposed in an undercover BBC investigation. There were no lies, given that there is still literally no evidence that he was a 'terrorist' whatsoever."
83,english,"Climate change scepticism almost extinct from UK national press Because everyone has to do it, if everyone takes that attitude it becomes “Well we’re only 10%…” and so on, it’s almost comparable to bystander effect.","Climate change skepticism is nearly absent from the UK national press. If everyone maintains this perspective, it results in a mindset of, ""Well, we’re only contributing 10%..."" This can be likened to the bystander effect."
84,english,"Private tenants facing eviction so homeless people can live in South London flats The council usually signs on to fund a complete refurbishment of the flat at the end of the contract period.The council also takes over the maintenance and upgrading of the flat for the duration of the contract.The property owner makes a little less in monthly rent, but receives a complete refit, and a guaranteed income for 3-5 years, with **zero** maintenance upkeep.It's a very, very good deal for a landlord.","Private tenants are facing eviction so that homeless individuals can occupy flats in South London. The council generally agrees to finance a complete refurbishment of the flat at the end of the contract period. The council also takes responsibility for the maintenance and upgrades of the flat during the contract. While the property owner receives slightly less in monthly rent, they benefit from a complete refit and a guaranteed income for 3 to 5 years, with no maintenance responsibilities. This is an excellent deal for landlords."
85,english,Climate change scepticism almost extinct from UK national press Never with the magnitude or speed with which it has changed over the past few decades,"In the UK national press, climate change skepticism is nearly extinct. The magnitude and speed of change have never been as pronounced as they have been over the past few decades."
86,english,"She seems vastly smarter and more honest than her father. Kdo pa je arbiter, ki določa kaj je resnica in kaj ni?","She seems considerably smarter and more truthful than her father. Kdo pa je arbiter, ki določa, kaj je resnica in kaj ni?"
87,english,lol… the orange man got me Biden did not impose a hiring freeze.,LOL… the orange man got me. Biden did not impose a hiring freeze.
88,english,"I am starting a Swedish Candy store in Los Angeles >How will you place orders and read labels?Because companies wants to sell to different countries, many uses English when it comes to deals with other parts of the world","I am launching a Swedish candy store in Los Angeles. How will you place orders and read labels? As companies aim to sell to multiple countries, many use English when conducting business with other regions of the world."
89,english,"USGS or Census? Would appreciate inputThis is also a concern, a lot of uncertainty with everything unfortunately. Do you think they are hiring low GS positions now cause higher GS people are leaving and they need to fill the void but lower GS is cheaper?","USGS or Census? I would appreciate your input on this matter. This is also a concern; there is a significant amount of uncertainty about everything, unfortunately. Do you think they are hiring for lower GS positions now because higher GS personnel are leaving, necessitating the filling of the void, and lower GS positions are less expensive?"
90,english,"Why won't hispanics move to Spain instead of the US?Yeah, its certainly a better path than coming via the border assuming you are able to qualify.","Why won't Hispanics relocate to Spain instead of the U.S.?Certainly, this is a better option than entering through the border, assuming you qualify."
91,english,Pension fund It comes down to 2 things: Index that the fund follows and the rules of pension funds set up by the government.Since all indexes are a bit different and compose of different stocks then depending on the year they will perform a little differently.A large difference over the past few years came from the fact that up until a few years ago pension funds could only hold up to 75% of their value in stocks. When this restriction changed then some index funds directed all allowed capital into stocks while Tuleva took a more gradual approach. If I am not mistaken this happened do coincide with general market uplifts so quite a bit of gains were unintentionally left on the table with that decision.,"Pension Fund It comes down to two things: the index that the fund follows and the regulations governing pension funds set by the government.Since all indices are somewhat different and consist of various stocks, their performance will vary slightly from year to year.A significant difference in recent years arose from the fact that, until a few years ago, pension funds could only hold up to 75% of their value in stocks. When this restriction was lifted, some index funds directed all permitted capital into stocks, while Tuleva adopted a more gradual approach. If I am not mistaken, this change coincided with general market uplifts, resulting in a considerable amount of gains being unintentionally left on the table due to that decision."
92,english,Train drivers to demand bigger pay deal in new headache for Labour That's most high paid jobs these days.,"Train drivers are pushing for a larger pay deal, creating a new issue for Labour. This is currently one of the highest-paying jobs."
93,english,"PSA: Do not book with KIWI agency - they are a scam. I booked a domestic US flight that departed in more than seven days. The confirmation email mentioned that I could get a refund via chat and the process was very easy. They did not try any BS. This was in November, maybe they changed something?","PSA: Do not book with the KIWI agency—they are a scam. I booked a domestic US flight that was scheduled to depart in more than seven days. The confirmation email indicated that I could obtain a refund via chat, and the process was quite straightforward. They did not engage in any nonsense. This occurred in November; perhaps they have made changes since then?"
94,english,"Company run by Captain Tom's daughter folds with just £149 in assets - despite last year's accounts totalling £336,300 There is a president in America who just a week ago decided to launch his own cryptocurrency, in order to presumably self enrich himself with hundreds of millions of dollars. There was a time, not that long ago, that presidents at least gave the pretence they would separate their business interests while in office.","A company run by Captain Tom's daughter has folded with just £149 in assets, despite last year's accounts totaling £336,300. There is a president in America who, just a week ago, decided to launch his own cryptocurrency, presumably to enrich himself with hundreds of millions of dollars. There was a time, not that long ago, when presidents at least gave the pretense of separating their business interests while in office."
95,english,"DWP crackdown could see people banned from driving if welfare debts go unpaid I personally don't think we should be making it more difficult for people to access work. Of course, there are alternatives to driving but if someone can drive and it makes working easier for them why take that away and make work more difficult.Maybe if the whole country had a functioning public transport system it would be a different story.","The DWP crackdown could result in people being banned from driving if welfare debts remain unpaid. Personally, I don't believe we should make it more difficult for individuals to access work. While there are alternatives to driving, if someone is able to drive and it facilitates their ability to work, why take that away and complicate their employment situation? Perhaps if the entire country had a functioning public transport system, it would be a different story."
96,english,"USA citizen, married to an immigrant, where should I educate myself and what should I know right now? Not sketchy at all. Anyone person who enters without inspection is not eligible to adjust status, even if married to a citizen.","As a U.S. citizen married to an immigrant, where should I seek education, and what information should I be aware of right now? This is not sketchy at all. Any individual who enters without inspection is not eligible to adjust their status, even if they are married to a citizen."
97,english,"Defiant Starmer declares he wants 10 years as UK PM Thatcher didn’t have a mountain of misinformation in the homes of her constituents, though.","Defiant Starmer asserts his desire for ten years as the UK Prime Minister. Thatcher didn’t have a mountain of misinformation in the homes of her constituents, though."
98,english,"IRS Honors Attorney Program- How ""At-Risk""?","IRS Honors Attorney Program - How ""At-Risk""?"
99,english,"I need genuine advice on where to movei'm following the news every day (more than I should) and Trump has never said literally anything negative about skilled immigrants. I hate his politics but he actually mentioned something like ""if you come here as a student you should get a green card after graduation"".In comparison, in Europe, they don't differentiate between unskilled or illegal migrants and skilled ones. So yeah, nobody is waiting arms open but there's a big difference","I need genuine advice on where to move. I'm following the news every day (more than I should), and Trump has never said anything negative about skilled immigrants. I dislike his politics, but he did mention something like, ""If you come here as a student, you should get a green card after graduation."" In comparison, in Europe, they don't differentiate between unskilled or illegal migrants and skilled ones. So, while nobody is waiting with open arms, there's a significant difference."
